is_offensive,text
0,ለሰባት ሳምንታት ተቋርጦ የነበረው ድርድር ከነገ ጀምሮ መካሄድ እንደሚጀምር ይፋ የተደረገው በወቅቱ የአፍሪካ ሕብረት ሊቀ መንበር ሲሪል ራማፎሳ ትዊተር ገጽ ላይ ነው።
1,አር አር አበበ ዳቦ በላ እና
1,አር
0,ፕሬዝደንት ራማፎሳ ከሶስቱ አገራት መሪዎች ጋር ማለትም ከግብጹ ፕሬዝዳንት አብዱ ፋታህ አል-ሲሲ፣ ከኢትዮጵያ ጠቅላይ ሚኒስትር ዐቢይ አህመድ እና ከሱዳን ጠቅላይ ሚኒስትር አብደላ ሀምዶክ ጋር ጥልቅ ምክክር ከተካሄደ በኋላ የሶስትዮሽ ድርድሩ ነገ እንደሚጀመር አስታውቀዋል።
0,ይህ ድርድር የሚቀጥለው ፕሬዝደንት ትራምፕ የሕዳሴ ግድብን ግብጽ "ልታፈነዳው ትችላለች" የሚል አስተያየት ከሰጡ በኋላ ነው።
1,ቡሸቲ ዶናልድ ትራምፕ ባለፈው አርብ ምሽት በዋይት ሃውስ ጋዜጠኞች በተሰበሰቡበት፤ ኢትዮጵያ ወደ ስምምነቱ መመለስ አለባት፤ ግብጽ ብትበሳጭ ልትኮነን አይገባም፤ "ያን ግድብ ልታፈነዳው ትችላለች" ሲሉ ተደምጠዋል።
1,ኢትዮጵያ፤ የፕሬዝደንት ትራምፕን አስተያየት በተመለከተ በግድቡ ዙሪያ የሚሰጡ 
1,ማስፈራሪያዎች ከመረጃ ክፍተት የሚነሱ፣ ውጤታማ ያልሆኑ እና የዓለም አቀፍ ሕግን የጣሱ ናቸው 
0,ማለቷ ይታወሳል።
0,የውጪ ጉዳይ ቃል አቀባይ አምባሳደር ዲና ሙፍቲ ለቢቢሲ የፕሬዝደንት ዶናልድ ትራምፕ 
1,አስተያየት ነገ ቀጥሎ በሚካሄደው የሶስትዮሽ ድርድር ላይ አሉታዊ ጫና አያሳድርም ብለዋል።
0,ድርድሩ ራሱን የቻለ ነው፤ ሦስቱ አገራት በአፍሪካ ሕብረት አማካይነት እየተደራደሩ ያሉበት ጉዳይ 
0,ፕሬዚደንቱን አይመለከትም። የሚመለከታቸው ነገር ካለ እንድንስማማ መገፋፋት፣ መደገፍ፣ እኛ የተስማማንበትን ነገር መቀበል ብቻ ነው እንጂ ከዚህ ውጭ ይሄ በአፍሪካ ኅብረት ማዕቀፍ እየተደረገ ያለ ጉዳይ ስለሆነ የሌላ የማንም ሰው ጉዳይ ሊሆን አይችልም" ብለዋል አምባሳደር ዲና።
0,ጣልያን ሃገሬን የሚገዛው እኔ ሮምን ስገዛ ነው::
1,ከንፈርሽ ሜቴክ ነው መስረቅ የለመደ እግርሽ አብይ ነው መሄድ የወደደ ጡትሽ ሀይለማርያም በራሱ የወረደ ገላሽ ሙፈሪያት እሺን የለመደ ቋንቋሽ ውጪ ጉዳይ የተወላገደ እረ እንዴት ልቀፍሽ ውስጤኮ ነደደ:: *** አመሰግናለው ጥበብ
0,ከቤቱ ውሀ በጀሪካን ሞልቶ ችግኝ የሚያጠጣ ኢትዮጵያዊ! እንዲህ አይነቱን በጎ ተግባር ሳይ ኢትዮጵያ ብትቀጥንም የማትበጠስ፣የደከመች ብትመስልም የማትሞት ሆና ይሰማኛል።
0,የ 600 ብር ዶሮ በ 4 ብር እንጀራ መብላት የዶሮን ሰብአዊ  መብት መጋፋት አይሆንም ??!
0,"በፊት ከአሠፓ ም/ቤት ወይም ከኢህአዴግ ጽ/ቤት ይገኝ የነበረው ስልጣን አሁን የሚገኘው ማኀበራዊ ሚዲያን እንደመሳሪያ ከሚጠቀም ሞብ ነው።" ታምራት ገብረጊዮርጊስ በኤፍኢኤስ የውይይት መድረክ ላይ የተናገሩት።
0,''ኢትዮጵያዊነትን በሌላ ባዕድ ማንነት ቅርፅ ማስያዝ ጣልያንና አውሮፓም አልተሳካላትም:: የአድዋ ታሪክ ይደገማል የምንደግመው ፀረ ኢትዮጵያውያንን በመርታት ነው ኢትዮጵያ ስንል ውሸት እና ማስመሰል የሌለባታን ጥንታዊቷን ኢትዮጵያ ነው''
